Unnamed: 0,index,digit,num_example,model,general_scenario,accuracy,correct_ratio,unknown_rate,rlr,task_instruction,format_instruction,wrong_rate,scenario
,0,00000,0,gpt-4-0314,2,0.87,0.87,0.0,1.53,template0,format_instruction0,0.13,zeroshot_fi
,1,00001,0,gpt-3.5-turbo,2,0.73,0.73,0.0,1.61,template0,format_instruction0,0.27,zeroshot_fi
,2,00010,0,gpt-4-0314,2,0.83,0.83,0.0,1.51,template0,format_instruction1,0.17,zeroshot_fi
,3,00011,0,gpt-3.5-turbo,2,0.7,0.7,0.0,1.71,template0,format_instruction1,0.3,zeroshot_fi
,4,00100,0,gpt-4-0314,2,0.83,0.83,0.0,1.56,template1,format_instruction0,0.17,zeroshot_fi
,5,00101,0,gpt-3.5-turbo,2,0.67,0.67,0.0,1.72,template1,format_instruction0,0.33,zeroshot_fi
,6,00110,0,gpt-4-0314,2,0.8,0.8,0.0,1.56,template1,format_instruction1,0.2,zeroshot_fi
,7,00111,0,gpt-3.5-turbo,2,0.7,0.7,0.0,1.75,template1,format_instruction1,0.3,zeroshot_fi
,8,01000,0,gpt-4-0314,3,0.83,0.83,0.0,1.51,template0,format_instruction0,0.17,zeroshot_fi
,9,01001,0,gpt-3.5-turbo,3,0.7,0.7,0.0,1.67,template0,format_instruction0,0.3,zeroshot_fi
,10,01010,0,gpt-4-0314,3,0.9,0.9,0.0,1.57,template0,format_instruction1,0.1,zeroshot_fi
,11,01011,0,gpt-3.5-turbo,3,0.73,0.73,0.0,1.72,template0,format_instruction1,0.27,zeroshot_fi
,12,01100,0,gpt-4-0314,3,0.87,0.87,0.0,1.5,template1,format_instruction0,0.13,zeroshot_fi
,13,01101,0,gpt-3.5-turbo,3,0.7,0.7,0.0,1.7,template1,format_instruction0,0.3,zeroshot_fi
,14,01110,0,gpt-4-0314,3,0.87,0.87,0.0,1.5,template1,format_instruction1,0.13,zeroshot_fi
,15,01111,0,gpt-3.5-turbo,3,0.73,0.73,0.0,1.72,template1,format_instruction1,0.27,zeroshot_fi
,16,02000,0,gpt-4-0314,4,0.9,0.9,0.0,1.51,template0,format_instruction0,0.1,zeroshot_fi
,17,02001,0,gpt-3.5-turbo,4,0.77,0.77,0.0,1.71,template0,format_instruction0,0.23,zeroshot_fi
,18,02010,0,gpt-4-0314,4,0.77,0.79,0.03,1.81,template0,format_instruction1,0.2,zeroshot_fi
,19,02011,0,gpt-3.5-turbo,4,0.73,0.73,0.0,1.74,template0,format_instruction1,0.27,zeroshot_fi
,20,02100,0,gpt-4-0314,4,0.8,0.83,0.03,1.54,template1,format_instruction0,0.17,zeroshot_fi
,21,02101,0,gpt-3.5-turbo,4,0.77,0.77,0.0,1.68,template1,format_instruction0,0.23,zeroshot_fi
,22,02110,0,gpt-4-0314,4,0.83,0.83,0.0,1.54,template1,format_instruction1,0.17,zeroshot_fi
,23,02111,0,gpt-3.5-turbo,4,0.73,0.73,0.0,1.73,template1,format_instruction1,0.27,zeroshot_fi
