Unnamed: 0,index,digit,num_example,model,general_scenario,accuracy,correct_ratio,unknown_rate,rlr,num_data_tested,task_instruction,format_instruction,ftrr,scenario
,0,0,0,gpt-4-0314,2,0.8,0.8,0.0,1.2,3.0,template0,format_instruction0,0.0,zeroshot_fi
,1,1,0,gpt-3.5-turbo,2,0.82,0.82,0.0,1.05,3.0,template0,format_instruction0,0.0,zeroshot_fi
,2,10,0,gpt-4-0314,2,0.8,0.8,0.0,1.17,3.0,template0,format_instruction1,0.0,zeroshot_fi
,3,11,0,gpt-3.5-turbo,2,0.78,0.78,0.0,1.71,3.0,template0,format_instruction1,0.0,zeroshot_fi
,4,100,0,gpt-4-0314,2,0.8,0.8,0.0,1.2,3.0,template1,format_instruction0,0.0,zeroshot_fi
,5,101,0,gpt-3.5-turbo,2,0.82,0.82,0.0,1.08,3.0,template1,format_instruction0,0.0,zeroshot_fi
,6,110,0,gpt-4-0314,2,0.78,0.78,0.0,1.2,3.0,template1,format_instruction1,0.0,zeroshot_fi
,7,111,0,gpt-3.5-turbo,2,0.69,0.69,0.0,1.89,3.0,template1,format_instruction1,0.0,zeroshot_fi
,8,1000,0,gpt-4-0314,3,0.84,0.84,0.0,1.18,3.0,template0,format_instruction0,0.0,zeroshot_fi
,9,1001,0,gpt-3.5-turbo,3,0.8,0.8,0.0,1.1,3.0,template0,format_instruction0,0.0,zeroshot_fi
,10,1010,0,gpt-4-0314,3,0.8,0.8,0.0,1.18,3.0,template0,format_instruction1,0.0,zeroshot_fi
,11,1011,0,gpt-3.5-turbo,3,0.8,0.8,0.0,1.25,3.0,template0,format_instruction1,0.0,zeroshot_fi
,12,1100,0,gpt-4-0314,3,0.82,0.82,0.0,1.19,3.0,template1,format_instruction0,0.0,zeroshot_fi
,13,1101,0,gpt-3.5-turbo,3,0.8,0.8,0.0,1.05,3.0,template1,format_instruction0,0.0,zeroshot_fi
,14,1110,0,gpt-4-0314,3,0.84,0.84,0.0,1.19,3.0,template1,format_instruction1,0.0,zeroshot_fi
,15,1111,0,gpt-3.5-turbo,3,0.8,0.8,0.0,1.12,3.0,template1,format_instruction1,0.0,zeroshot_fi
,16,2000,0,gpt-4-0314,4,0.78,0.78,0.0,1.16,3.0,template0,format_instruction0,0.0,zeroshot_fi
,17,2001,0,gpt-3.5-turbo,4,0.76,0.76,0.0,1.1,3.0,template0,format_instruction0,0.0,zeroshot_fi
,18,2010,0,gpt-4-0314,4,0.84,0.84,0.0,1.26,3.0,template0,format_instruction1,0.0,zeroshot_fi
,19,2011,0,gpt-3.5-turbo,4,0.8,0.8,0.0,1.21,3.0,template0,format_instruction1,0.0,zeroshot_fi
,20,2100,0,gpt-4-0314,4,0.8,0.8,0.0,1.14,3.0,template1,format_instruction0,0.0,zeroshot_fi
,21,2101,0,gpt-3.5-turbo,4,0.76,0.76,0.0,1.12,3.0,template1,format_instruction0,0.0,zeroshot_fi
,22,2110,0,gpt-4-0314,4,0.76,0.76,0.0,1.12,3.0,template1,format_instruction1,0.0,zeroshot_fi
,23,2111,0,gpt-3.5-turbo,4,0.78,0.78,0.0,1.75,3.0,template1,format_instruction1,0.0,zeroshot_fi
,24,100000,0,gpt-4-0314,2,0.76,0.76,0.0,1.19,5.0,template0,format_instruction0,0.0,zeroshot_fi
,25,100001,0,gpt-3.5-turbo,2,0.72,0.72,0.0,1.09,5.0,template0,format_instruction0,0.0,zeroshot_fi
,26,100010,0,gpt-4-0314,2,0.77,0.77,0.0,1.15,5.0,template0,format_instruction1,0.0,zeroshot_fi
,27,100011,0,gpt-3.5-turbo,2,0.71,0.71,0.0,1.61,5.0,template0,format_instruction1,0.0,zeroshot_fi
,28,100100,0,gpt-4-0314,2,0.76,0.76,0.0,1.2,5.0,template1,format_instruction0,0.0,zeroshot_fi
,29,100101,0,gpt-3.5-turbo,2,0.67,0.67,0.0,1.09,5.0,template1,format_instruction0,0.0,zeroshot_fi
,30,100110,0,gpt-4-0314,2,0.76,0.76,0.0,1.15,5.0,template1,format_instruction1,0.0,zeroshot_fi
,31,100111,0,gpt-3.5-turbo,2,0.68,0.68,0.0,1.8,5.0,template1,format_instruction1,0.0,zeroshot_fi
,32,101000,0,gpt-4-0314,3,0.8,0.8,0.0,1.2,5.0,template0,format_instruction0,0.0,zeroshot_fi
,33,101001,0,gpt-3.5-turbo,3,0.69,0.69,0.0,1.09,5.0,template0,format_instruction0,0.0,zeroshot_fi
,34,101010,0,gpt-4-0314,3,0.77,0.77,0.0,1.22,5.0,template0,format_instruction1,0.0,zeroshot_fi
,35,101011,0,gpt-3.5-turbo,3,0.71,0.71,0.0,1.08,5.0,template0,format_instruction1,0.0,zeroshot_fi
,36,101100,0,gpt-4-0314,3,0.79,0.79,0.0,1.19,5.0,template1,format_instruction0,0.0,zeroshot_fi
,37,101101,0,gpt-3.5-turbo,3,0.69,0.7,0.01,1.05,5.0,template1,format_instruction0,0.0,zeroshot_fi
,38,101110,0,gpt-4-0314,3,0.77,0.77,0.0,1.18,5.0,template1,format_instruction1,0.0,zeroshot_fi
,39,101111,0,gpt-3.5-turbo,3,0.72,0.72,0.0,1.1,5.0,template1,format_instruction1,0.0,zeroshot_fi
,40,102000,0,gpt-4-0314,4,0.77,0.77,0.0,1.14,5.0,template0,format_instruction0,0.0,zeroshot_fi
,41,102001,0,gpt-3.5-turbo,4,0.72,0.72,0.0,1.08,5.0,template0,format_instruction0,0.0,zeroshot_fi
,42,102010,0,gpt-4-0314,4,0.79,0.79,0.0,1.12,5.0,template0,format_instruction1,0.0,zeroshot_fi
,43,102011,0,gpt-3.5-turbo,4,0.75,0.75,0.0,1.13,5.0,template0,format_instruction1,0.0,zeroshot_fi
,44,102100,0,gpt-4-0314,4,0.73,0.74,0.01,1.13,5.0,template1,format_instruction0,0.0,zeroshot_fi
,45,102101,0,gpt-3.5-turbo,4,0.68,0.68,0.0,1.09,5.0,template1,format_instruction0,0.0,zeroshot_fi
,46,102110,0,gpt-4-0314,4,0.77,0.77,0.0,1.11,5.0,template1,format_instruction1,0.0,zeroshot_fi
,47,102111,0,gpt-3.5-turbo,4,0.71,0.71,0.0,1.21,5.0,template1,format_instruction1,0.0,zeroshot_fi
,48,200000,0,gpt-4-0314,2,0.82,0.82,0.0,1.13,10.0,template0,format_instruction0,0.0,zeroshot_fi
,49,200001,0,gpt-3.5-turbo,2,0.75,0.75,0.0,1.07,10.0,template0,format_instruction0,0.0,zeroshot_fi
,50,200010,0,gpt-4-0314,2,0.81,0.81,0.0,1.11,10.0,template0,format_instruction1,0.0,zeroshot_fi
,51,200011,0,gpt-3.5-turbo,2,0.74,0.74,0.0,1.13,10.0,template0,format_instruction1,0.0,zeroshot_fi
,52,200100,0,gpt-4-0314,2,0.81,0.81,0.0,1.16,10.0,template1,format_instruction0,0.0,zeroshot_fi
,53,200101,0,gpt-3.5-turbo,2,0.75,0.75,0.0,1.06,10.0,template1,format_instruction0,0.0,zeroshot_fi
,54,200110,0,gpt-4-0314,2,0.8,0.8,0.0,1.09,10.0,template1,format_instruction1,0.0,zeroshot_fi
