Unnamed: 0,index,digit,num_example,model,general_scenario,accuracy,correct_ratio,unknown_rate,rlr,num_data_tested,task_instruction,format_instruction,ftrr,scenario
,0,000000,3,gpt-4-0314,1,0.11,0.11,0.0,13.97,3.0,template0,format_instruction0,0.87,fewshot_nfi
,1,000001,3,gpt-3.5-turbo,1,0.0,0.0,0.0,5.62,3.0,template0,format_instruction0,1.0,fewshot_nfi
,2,000100,3,gpt-4-0314,1,0.73,0.73,0.0,12.79,3.0,template1,format_instruction0,0.07,fewshot_nfi
,3,000101,3,gpt-3.5-turbo,1,0.0,0.0,0.0,5.01,3.0,template1,format_instruction0,1.0,fewshot_nfi
,4,010000,5,gpt-4-0314,1,0.0,0.0,0.0,14.32,3.0,template0,format_instruction0,1.0,fewshot_nfi
,5,010001,5,gpt-3.5-turbo,1,0.0,0.0,0.0,7.39,3.0,template0,format_instruction0,1.0,fewshot_nfi
,6,010100,5,gpt-4-0314,1,0.0,0.0,0.0,12.79,3.0,template1,format_instruction0,1.0,fewshot_nfi
,7,010101,5,gpt-3.5-turbo,1,0.0,0.0,0.0,3.45,3.0,template1,format_instruction0,1.0,fewshot_nfi
,8,100000,3,gpt-4-0314,1,0.0,0.0,0.0,9.9,5.0,template0,format_instruction0,1.0,fewshot_nfi
,9,100001,3,gpt-3.5-turbo,1,0.0,0.0,0.0,5.78,5.0,template0,format_instruction0,1.0,fewshot_nfi
,10,100100,3,gpt-4-0314,1,0.29,0.29,0.0,12.4,5.0,template1,format_instruction0,0.6,fewshot_nfi
,11,100101,3,gpt-3.5-turbo,1,0.0,0.0,0.0,2.01,5.0,template1,format_instruction0,1.0,fewshot_nfi
,12,110000,5,gpt-4-0314,1,0.0,0.0,0.0,11.94,5.0,template0,format_instruction0,1.0,fewshot_nfi
,13,110001,5,gpt-3.5-turbo,1,0.01,0.01,0.0,4.7,5.0,template0,format_instruction0,0.93,fewshot_nfi
,14,110100,5,gpt-4-0314,1,0.0,0.0,0.0,12.44,5.0,template1,format_instruction0,1.0,fewshot_nfi
,15,110101,5,gpt-3.5-turbo,1,0.01,0.01,0.0,3.63,5.0,template1,format_instruction0,0.93,fewshot_nfi
,16,200000,3,gpt-4-0314,1,0.0,0.0,0.0,6.58,10.0,template0,format_instruction0,1.0,fewshot_nfi
,17,200001,3,gpt-3.5-turbo,1,0.0,0.0,0.0,4.7,10.0,template0,format_instruction0,1.0,fewshot_nfi
,18,200100,3,gpt-4-0314,1,0.28,0.28,0.0,8.94,10.0,template1,format_instruction0,0.67,fewshot_nfi
,19,200101,3,gpt-3.5-turbo,1,0.0,0.0,0.0,2.0,10.0,template1,format_instruction0,1.0,fewshot_nfi
,20,210000,5,gpt-4-0314,1,0.0,0.0,0.0,10.67,10.0,template0,format_instruction0,1.0,fewshot_nfi
,21,210001,5,gpt-3.5-turbo,1,0.0,0.0,0.0,5.37,10.0,template0,format_instruction0,1.0,fewshot_nfi
,22,210100,5,gpt-4-0314,1,0.0,0.0,0.0,8.81,10.0,template1,format_instruction0,1.0,fewshot_nfi
,23,210101,5,gpt-3.5-turbo,1,0.0,0.0,0.0,5.43,10.0,template1,format_instruction0,1.0,fewshot_nfi
