Unnamed: 0,index,digit,num_example,model,general_scenario,accuracy,correct_ratio,unknown_rate,rlr,num_data_tested,task_instruction,format_instruction,ftrr,scenario
,0,000000,0,gpt-4-0314,2,0.8,0.8,0.0,1.07,3.0,template0,format_instruction0,0.0,zeroshot_fi
,1,000001,0,gpt-3.5-turbo,2,0.69,0.69,0.0,2.04,3.0,template0,format_instruction0,0.0,zeroshot_fi
,2,000010,0,gpt-4-0314,2,0.82,0.82,0.0,1.05,3.0,template0,format_instruction1,0.0,zeroshot_fi
,3,000011,0,gpt-3.5-turbo,2,0.56,0.56,0.0,1.74,3.0,template0,format_instruction1,0.07,zeroshot_fi
,4,000100,0,gpt-4-0314,2,0.78,0.78,0.0,1.01,3.0,template1,format_instruction0,0.0,zeroshot_fi
,5,000101,0,gpt-3.5-turbo,2,0.53,0.53,0.0,1.21,3.0,template1,format_instruction0,0.0,zeroshot_fi
,6,000110,0,gpt-4-0314,2,0.82,0.82,0.0,1.03,3.0,template1,format_instruction1,0.0,zeroshot_fi
,7,000111,0,gpt-3.5-turbo,2,0.62,0.62,0.0,1.64,3.0,template1,format_instruction1,0.0,zeroshot_fi
,8,001000,0,gpt-4-0314,3,0.84,0.84,0.0,1.01,3.0,template0,format_instruction0,0.0,zeroshot_fi
,9,001001,0,gpt-3.5-turbo,3,0.71,0.71,0.0,1.05,3.0,template0,format_instruction0,0.0,zeroshot_fi
,10,001010,0,gpt-4-0314,3,0.89,0.89,0.0,1.02,3.0,template0,format_instruction1,0.0,zeroshot_fi
,11,001011,0,gpt-3.5-turbo,3,0.67,0.67,0.0,1.26,3.0,template0,format_instruction1,0.0,zeroshot_fi
,12,001100,0,gpt-4-0314,3,0.91,0.91,0.0,1.02,3.0,template1,format_instruction0,0.0,zeroshot_fi
,13,001101,0,gpt-3.5-turbo,3,0.69,0.69,0.0,1.03,3.0,template1,format_instruction0,0.0,zeroshot_fi
,14,001110,0,gpt-4-0314,3,0.87,0.87,0.0,1.03,3.0,template1,format_instruction1,0.0,zeroshot_fi
,15,001111,0,gpt-3.5-turbo,3,0.73,0.73,0.0,1.19,3.0,template1,format_instruction1,0.0,zeroshot_fi
,16,002000,0,gpt-4-0314,4,0.6,0.6,0.0,1.41,3.0,template0,format_instruction0,0.2,zeroshot_fi
,17,002001,0,gpt-3.5-turbo,4,0.6,0.6,0.0,1.24,3.0,template0,format_instruction0,0.13,zeroshot_fi
,18,002010,0,gpt-4-0314,4,0.76,0.76,0.0,1.67,3.0,template0,format_instruction1,0.0,zeroshot_fi
,19,002011,0,gpt-3.5-turbo,4,0.64,0.64,0.0,1.33,3.0,template0,format_instruction1,0.0,zeroshot_fi
,20,002100,0,gpt-4-0314,4,0.78,0.78,0.0,1.1,3.0,template1,format_instruction0,0.07,zeroshot_fi
,21,002101,0,gpt-3.5-turbo,4,0.69,0.69,0.0,1.04,3.0,template1,format_instruction0,0.0,zeroshot_fi
,22,002110,0,gpt-4-0314,4,0.76,0.76,0.0,1.24,3.0,template1,format_instruction1,0.0,zeroshot_fi
,23,002111,0,gpt-3.5-turbo,4,0.58,0.58,0.0,1.56,3.0,template1,format_instruction1,0.0,zeroshot_fi
,24,100000,0,gpt-4-0314,2,0.77,0.77,0.0,1.04,5.0,template0,format_instruction0,0.0,zeroshot_fi
,25,100001,0,gpt-3.5-turbo,2,0.63,0.63,0.0,2.11,5.0,template0,format_instruction0,0.0,zeroshot_fi
,26,100010,0,gpt-4-0314,2,0.76,0.76,0.0,1.11,5.0,template0,format_instruction1,0.0,zeroshot_fi
,27,100011,0,gpt-3.5-turbo,2,0.64,0.64,0.0,1.6,5.0,template0,format_instruction1,0.0,zeroshot_fi
,28,100100,0,gpt-4-0314,2,0.77,0.77,0.0,1.01,5.0,template1,format_instruction0,0.0,zeroshot_fi
,29,100101,0,gpt-3.5-turbo,2,0.68,0.68,0.0,1.33,5.0,template1,format_instruction0,0.0,zeroshot_fi
,30,100110,0,gpt-4-0314,2,0.8,0.8,0.0,1.01,5.0,template1,format_instruction1,0.0,zeroshot_fi
,31,100111,0,gpt-3.5-turbo,2,0.65,0.65,0.0,1.72,5.0,template1,format_instruction1,0.0,zeroshot_fi
,32,101000,0,gpt-4-0314,3,0.8,0.8,0.0,1.02,5.0,template0,format_instruction0,0.0,zeroshot_fi
,33,101001,0,gpt-3.5-turbo,3,0.67,0.67,0.0,1.06,5.0,template0,format_instruction0,0.0,zeroshot_fi
,34,101010,0,gpt-4-0314,3,0.81,0.81,0.0,1.01,5.0,template0,format_instruction1,0.0,zeroshot_fi
,35,101011,0,gpt-3.5-turbo,3,0.68,0.68,0.0,1.23,5.0,template0,format_instruction1,0.0,zeroshot_fi
,36,101100,0,gpt-4-0314,3,0.83,0.83,0.0,1.01,5.0,template1,format_instruction0,0.0,zeroshot_fi
,37,101101,0,gpt-3.5-turbo,3,0.75,0.75,0.0,1.07,5.0,template1,format_instruction0,0.0,zeroshot_fi
,38,101110,0,gpt-4-0314,3,0.77,0.77,0.0,1.01,5.0,template1,format_instruction1,0.0,zeroshot_fi
,39,101111,0,gpt-3.5-turbo,3,0.69,0.69,0.0,1.11,5.0,template1,format_instruction1,0.0,zeroshot_fi
,40,102000,0,gpt-4-0314,4,0.76,0.76,0.0,1.7,5.0,template0,format_instruction0,0.07,zeroshot_fi
,41,102001,0,gpt-3.5-turbo,4,0.63,0.63,0.0,1.07,5.0,template0,format_instruction0,0.07,zeroshot_fi
,42,102010,0,gpt-4-0314,4,0.8,0.8,0.0,1.73,5.0,template0,format_instruction1,0.0,zeroshot_fi
,43,102011,0,gpt-3.5-turbo,4,0.59,0.59,0.0,1.17,5.0,template0,format_instruction1,0.07,zeroshot_fi
,44,102100,0,gpt-4-0314,4,0.81,0.81,0.0,1.13,5.0,template1,format_instruction0,0.0,zeroshot_fi
,45,102101,0,gpt-3.5-turbo,4,0.68,0.68,0.0,1.04,5.0,template1,format_instruction0,0.0,zeroshot_fi
,46,102110,0,gpt-4-0314,4,0.76,0.76,0.0,1.23,5.0,template1,format_instruction1,0.07,zeroshot_fi
,47,102111,0,gpt-3.5-turbo,4,0.67,0.67,0.0,1.32,5.0,template1,format_instruction1,0.0,zeroshot_fi
,48,200000,0,gpt-4-0314,2,0.81,0.81,0.0,1.04,10.0,template0,format_instruction0,0.0,zeroshot_fi
,49,200001,0,gpt-3.5-turbo,2,0.33,0.33,0.0,1.7,10.0,template0,format_instruction0,0.47,zeroshot_fi
,50,200010,0,gpt-4-0314,2,0.81,0.81,0.0,1.03,10.0,template0,format_instruction1,0.0,zeroshot_fi
,51,200011,0,gpt-3.5-turbo,2,0.49,0.49,0.0,1.43,10.0,template0,format_instruction1,0.27,zeroshot_fi
,52,200100,0,gpt-4-0314,2,0.79,0.79,0.0,1.02,10.0,template1,format_instruction0,0.0,zeroshot_fi
,53,200101,0,gpt-3.5-turbo,2,0.3,0.3,0.0,1.47,10.0,template1,format_instruction0,0.53,zeroshot_fi
,54,200110,0,gpt-4-0314,2,0.8,0.8,0.0,1.04,10.0,template1,format_instruction1,0.0,zeroshot_fi
,55,200111,0,gpt-3.5-turbo,2,0.29,0.29,0.0,1.39,10.0,template1,format_instruction1,0.6,zeroshot_fi
,56,201000,0,gpt-4-0314,3,0.78,0.78,0.0,1.02,10.0,template0,format_instruction0,0.0,zeroshot_fi
,57,201001,0,gpt-3.5-turbo,3,0.39,0.39,0.0,1.01,10.0,template0,format_instruction0,0.47,zeroshot_fi
,58,201010,0,gpt-4-0314,3,0.79,0.79,0.0,1.02,10.0,template0,format_instruction1,0.0,zeroshot_fi
,59,201011,0,gpt-3.5-turbo,3,0.54,0.54,0.0,1.05,10.0,template0,format_instruction1,0.27,zeroshot_fi
,60,201100,0,gpt-4-0314,3,0.77,0.77,0.0,1.01,10.0,template1,format_instruction0,0.0,zeroshot_fi
,61,201101,0,gpt-3.5-turbo,3,0.42,0.42,0.0,1.01,10.0,template1,format_instruction0,0.4,zeroshot_fi
,62,201110,0,gpt-4-0314,3,0.76,0.76,0.0,1.01,10.0,template1,format_instruction1,0.0,zeroshot_fi
,63,201111,0,gpt-3.5-turbo,3,0.42,0.42,0.0,1.01,10.0,template1,format_instruction1,0.4,zeroshot_fi
,64,202000,0,gpt-4-0314,4,0.55,0.55,0.0,1.76,10.0,template0,format_instruction0,0.33,zeroshot_fi
,65,202001,0,gpt-3.5-turbo,4,0.42,0.42,0.0,1.01,10.0,template0,format_instruction0,0.33,zeroshot_fi
,66,202010,0,gpt-4-0314,4,0.81,0.81,0.0,1.94,10.0,template0,format_instruction1,0.0,zeroshot_fi
,67,202011,0,gpt-3.5-turbo,4,0.42,0.42,0.0,1.05,10.0,template0,format_instruction1,0.33,zeroshot_fi
,68,202100,0,gpt-4-0314,4,0.7,0.7,0.0,1.24,10.0,template1,format_instruction0,0.13,zeroshot_fi
,69,202101,0,gpt-3.5-turbo,4,0.37,0.37,0.0,1.0,10.0,template1,format_instruction0,0.4,zeroshot_fi
,70,202110,0,gpt-4-0314,4,0.72,0.72,0.0,1.3,10.0,template1,format_instruction1,0.13,zeroshot_fi
,71,202111,0,gpt-3.5-turbo,4,0.17,0.17,0.0,1.57,10.0,template1,format_instruction1,0.73,zeroshot_fi
