Unnamed: 0,index,digit,num_example,input_template,fewshot_label,model,special_case,accuracy,correct_ratio,unknown_rate,wrong_rate,f1,fewshot_format
,0,0,1,,true_label,gpt-4-0314,,0.42,0.87,0.52,0.06,0.55,template1
,1,1,1,,space,gpt-4-0314,,0.17,0.63,0.73,0.1,0.26,template1
,2,2,1,,random_target,gpt-4-0314,,0.48,0.86,0.44,0.08,0.61,template1
,3,10,3,,true_label,gpt-4-0314,,0.8,0.88,0.09,0.11,0.84,template1
,4,11,3,,space,gpt-4-0314,,0.21,0.62,0.66,0.13,0.29,template1
,5,12,3,,random_target,gpt-4-0314,,0.76,0.84,0.1,0.14,0.8,template1
,6,20,5,,true_label,gpt-4-0314,,0.83,0.86,0.04,0.13,0.85,template1
,7,21,5,,space,gpt-4-0314,,0.2,0.57,0.65,0.15,0.25,template1
,8,22,5,,random_target,gpt-4-0314,,0.86,0.89,0.03,0.11,0.87,template1
,9,30,10,,true_label,gpt-4-0314,,0.89,0.91,0.02,0.09,0.9,template1
,10,31,10,,space,gpt-4-0314,,0.27,0.73,0.63,0.1,0.38,template1
,11,32,10,,random_target,gpt-4-0314,,0.84,0.87,0.03,0.13,0.85,template1
,12,100,1,,true_label,gpt-3.5-turbo,,0.69,0.79,0.13,0.18,0.74,template1
,13,101,1,,space,gpt-3.5-turbo,,0.64,0.8,0.2,0.16,0.71,template1
,14,102,1,,random_target,gpt-3.5-turbo,,0.69,0.84,0.18,0.13,0.76,template1
,15,110,3,,true_label,gpt-3.5-turbo,,0.76,0.84,0.09,0.15,0.8,template1
,16,111,3,,space,gpt-3.5-turbo,,0.68,0.86,0.21,0.11,0.76,template1
,17,112,3,,random_target,gpt-3.5-turbo,,0.75,0.82,0.09,0.16,0.79,template1
,18,120,5,,true_label,gpt-3.5-turbo,,0.8,0.85,0.06,0.14,0.83,template1
,19,121,5,,space,gpt-3.5-turbo,,0.65,0.83,0.22,0.13,0.73,template1
,20,122,5,,random_target,gpt-3.5-turbo,,0.8,0.82,0.02,0.18,0.81,template1
