Unnamed: 0,index,digit,num_example,model,general_scenario,accuracy,correct_ratio,unknown_rate,rlr,num_data_tested,task_instruction,format_instruction,ftrr,scenario
,0,000000,3,gpt-4-0314,1,0.0,0.0,0.0,18.81,3.0,template0,format_instruction0,1.0,fewshot_nfi
,1,000001,3,gpt-3.5-turbo,1,0.04,0.05,0.07,14.78,3.0,template0,format_instruction0,0.73,fewshot_nfi
,2,000100,3,gpt-4-0314,1,0.0,0.0,0.0,14.88,3.0,template1,format_instruction0,1.0,fewshot_nfi
,3,000101,3,gpt-3.5-turbo,1,0.02,0.02,0.0,14.05,3.0,template1,format_instruction0,0.87,fewshot_nfi
,4,010000,5,gpt-4-0314,1,0.0,0.0,0.0,17.92,3.0,template0,format_instruction0,1.0,fewshot_nfi
,5,010001,5,gpt-3.5-turbo,1,0.0,0.0,0.0,13.01,3.0,template0,format_instruction0,1.0,fewshot_nfi
,6,010100,5,gpt-4-0314,1,0.0,0.0,0.0,16.47,3.0,template1,format_instruction0,1.0,fewshot_nfi
,7,010101,5,gpt-3.5-turbo,1,0.0,0.0,0.0,11.73,3.0,template1,format_instruction0,1.0,fewshot_nfi
,8,100000,3,gpt-4-0314,1,0.0,0.0,0.0,16.55,5.0,template0,format_instruction0,1.0,fewshot_nfi
,9,100001,3,gpt-3.5-turbo,1,0.0,0.0,0.0,13.65,5.0,template0,format_instruction0,1.0,fewshot_nfi
,10,100100,3,gpt-4-0314,1,0.0,0.0,0.0,9.92,5.0,template1,format_instruction0,1.0,fewshot_nfi
,11,100101,3,gpt-3.5-turbo,1,0.01,0.01,0.0,10.41,5.0,template1,format_instruction0,0.93,fewshot_nfi
,12,110000,5,gpt-4-0314,1,0.0,0.0,0.0,14.93,5.0,template0,format_instruction0,1.0,fewshot_nfi
,13,110001,5,gpt-3.5-turbo,1,0.05,0.05,0.0,13.21,5.0,template0,format_instruction0,0.87,fewshot_nfi
,14,110100,5,gpt-4-0314,1,0.0,0.0,0.0,13.59,5.0,template1,format_instruction0,1.0,fewshot_nfi
,15,110101,5,gpt-3.5-turbo,1,0.25,0.25,0.0,6.39,5.0,template1,format_instruction0,0.6,fewshot_nfi
,16,200000,3,gpt-4-0314,1,0.0,0.0,0.0,10.49,10.0,template0,format_instruction0,1.0,fewshot_nfi
,17,200001,3,gpt-3.5-turbo,1,0.0,0.0,0.0,14.16,10.0,template0,format_instruction0,1.0,fewshot_nfi
,18,200100,3,gpt-4-0314,1,0.0,0.0,0.0,7.85,10.0,template1,format_instruction0,1.0,fewshot_nfi
,19,200101,3,gpt-3.5-turbo,1,0.0,0.0,0.0,7.72,10.0,template1,format_instruction0,1.0,fewshot_nfi
,20,210000,5,gpt-4-0314,1,0.0,0.0,0.0,13.65,10.0,template0,format_instruction0,1.0,fewshot_nfi
,21,210001,5,gpt-3.5-turbo,1,0.0,0.0,0.0,10.14,10.0,template0,format_instruction0,1.0,fewshot_nfi
,22,210100,5,gpt-4-0314,1,0.0,0.0,0.0,12.44,10.0,template1,format_instruction0,1.0,fewshot_nfi
,23,210101,5,gpt-3.5-turbo,1,0.0,0.0,0.0,1.69,10.0,template1,format_instruction0,1.0,fewshot_nfi
