Unnamed: 0,index,digit,num_example,model,general_scenario,accuracy,correct_ratio,unknown_rate,rlr,task_instruction,format_instruction,wrong_rate,scenario
,0,00000,0,gpt-4-0314,2,0.63,0.79,0.2,0.97,template0,format_instruction0,0.17,zeroshot_fi
,1,00001,0,gpt-3.5-turbo,2,0.73,0.79,0.07,0.97,template0,format_instruction0,0.2,zeroshot_fi
,2,00010,0,gpt-4-0314,2,0.67,0.83,0.2,0.98,template0,format_instruction1,0.13,zeroshot_fi
,3,00011,0,gpt-3.5-turbo,2,0.7,0.81,0.13,0.98,template0,format_instruction1,0.17,zeroshot_fi
,4,00100,0,gpt-4-0314,2,0.4,0.75,0.47,0.98,template1,format_instruction0,0.13,zeroshot_fi
,5,00101,0,gpt-3.5-turbo,2,0.53,0.59,0.1,0.93,template1,format_instruction0,0.37,zeroshot_fi
,6,00110,0,gpt-4-0314,2,0.5,0.79,0.37,0.98,template1,format_instruction1,0.13,zeroshot_fi
,7,00111,0,gpt-3.5-turbo,2,0.7,0.7,0.0,0.98,template1,format_instruction1,0.3,zeroshot_fi
,8,01000,0,gpt-4-0314,3,0.47,0.82,0.43,0.98,template0,format_instruction0,0.1,zeroshot_fi
,9,01001,0,gpt-3.5-turbo,3,0.6,0.62,0.03,0.97,template0,format_instruction0,0.37,zeroshot_fi
,10,01010,0,gpt-4-0314,3,0.57,0.81,0.3,0.98,template0,format_instruction1,0.13,zeroshot_fi
,11,01011,0,gpt-3.5-turbo,3,0.63,0.86,0.27,0.92,template0,format_instruction1,0.1,zeroshot_fi
,12,01100,0,gpt-4-0314,3,0.53,0.89,0.4,0.97,template1,format_instruction0,0.07,zeroshot_fi
,13,01101,0,gpt-3.5-turbo,3,0.73,0.73,0.0,0.97,template1,format_instruction0,0.27,zeroshot_fi
,14,01110,0,gpt-4-0314,3,0.47,0.93,0.5,0.97,template1,format_instruction1,0.03,zeroshot_fi
,15,01111,0,gpt-3.5-turbo,3,0.73,0.73,0.0,0.98,template1,format_instruction1,0.27,zeroshot_fi
,16,02000,0,gpt-4-0314,4,0.33,0.71,0.53,0.99,template0,format_instruction0,0.13,zeroshot_fi
,17,02001,0,gpt-3.5-turbo,4,0.77,0.79,0.03,0.96,template0,format_instruction0,0.2,zeroshot_fi
,18,02010,0,gpt-4-0314,4,0.37,1.0,0.63,0.97,template0,format_instruction1,0.0,zeroshot_fi
,19,02011,0,gpt-3.5-turbo,4,0.73,0.76,0.03,0.99,template0,format_instruction1,0.23,zeroshot_fi
,20,02100,0,gpt-4-0314,4,0.2,1.0,0.8,0.97,template1,format_instruction0,0.0,zeroshot_fi
,21,02101,0,gpt-3.5-turbo,4,0.6,0.6,0.0,0.95,template1,format_instruction0,0.4,zeroshot_fi
,22,02110,0,gpt-4-0314,4,0.37,1.0,0.63,0.98,template1,format_instruction1,0.0,zeroshot_fi
,23,02111,0,gpt-3.5-turbo,4,0.67,0.67,0.0,0.98,template1,format_instruction1,0.33,zeroshot_fi
