Unnamed: 0,index,digit,num_example,model,general_scenario,accuracy,correct_ratio,unknown_rate,rlr,task_instruction,format_instruction,wrong_rate,scenario
,0,00000,1,gpt-4-0314,2,0.83,0.83,0.0,0.96,template0,format_instruction0,0.17,fewshot_fi
,1,00001,1,gpt-3.5-turbo,2,0.3,0.5,0.4,1.54,template0,format_instruction0,0.3,fewshot_fi
,2,00010,1,gpt-4-0314,2,0.8,0.8,0.0,0.95,template0,format_instruction1,0.2,fewshot_fi
,3,00011,1,gpt-3.5-turbo,2,0.3,0.64,0.53,2.75,template0,format_instruction1,0.17,fewshot_fi
,4,00100,1,gpt-4-0314,2,0.87,0.87,0.0,0.95,template1,format_instruction0,0.13,fewshot_fi
,5,00101,1,gpt-3.5-turbo,2,0.0,0.0,0.93,0.78,template1,format_instruction0,0.07,fewshot_fi
,6,00110,1,gpt-4-0314,2,0.83,0.83,0.0,0.97,template1,format_instruction1,0.17,fewshot_fi
,7,00111,1,gpt-3.5-turbo,2,0.07,0.4,0.83,0.91,template1,format_instruction1,0.1,fewshot_fi
,8,01000,1,gpt-4-0314,3,0.87,0.87,0.0,0.95,template0,format_instruction0,0.13,fewshot_fi
,9,01001,1,gpt-3.5-turbo,3,0.43,0.87,0.5,3.89,template0,format_instruction0,0.07,fewshot_fi
,10,01010,1,gpt-4-0314,3,0.83,0.83,0.0,0.95,template0,format_instruction1,0.17,fewshot_fi
,11,01011,1,gpt-3.5-turbo,3,0.33,0.56,0.4,5.24,template0,format_instruction1,0.27,fewshot_fi
,12,01100,1,gpt-4-0314,3,0.83,0.83,0.0,0.95,template1,format_instruction0,0.17,fewshot_fi
,13,01101,1,gpt-3.5-turbo,3,0.2,0.6,0.67,3.2,template1,format_instruction0,0.13,fewshot_fi
,14,01110,1,gpt-4-0314,3,0.83,0.83,0.0,0.94,template1,format_instruction1,0.17,fewshot_fi
,15,01111,1,gpt-3.5-turbo,3,0.13,0.5,0.73,2.18,template1,format_instruction1,0.13,fewshot_fi
