Unnamed: 0,index,scenario,general_scenario,digit,task_instruction,format_instruction,num_example,model,accuracy,correct_ratio,unknown_rate,wrong_rate,rlr,f1
,0,fewshot_fi,2,00000,template0,format_instruction0,1,gpt-4-0314,0.87,0.87,0.0,0.13,0.97,0.87
,1,fewshot_fi,2,00001,template0,format_instruction0,1,gpt-3.5-turbo,0.02,1.0,0.98,0.0,92.7,0.04
,2,fewshot_fi,2,00010,template0,format_instruction1,1,gpt-4-0314,0.87,0.88,0.02,0.11,1.38,0.88
,3,fewshot_fi,2,00011,template0,format_instruction1,1,gpt-3.5-turbo,0.09,0.82,0.89,0.02,74.81,0.17
,4,fewshot_fi,2,00100,template1,format_instruction0,1,gpt-4-0314,0.88,0.89,0.01,0.11,1.4,0.88
,5,fewshot_fi,2,00101,template1,format_instruction0,1,gpt-3.5-turbo,0.48,0.85,0.43,0.09,25.27,0.61
,6,fewshot_fi,2,00110,template1,format_instruction1,1,gpt-4-0314,0.87,0.87,0.0,0.13,0.95,0.87
,7,fewshot_fi,2,00111,template1,format_instruction1,1,gpt-3.5-turbo,0.52,0.82,0.37,0.11,7.66,0.64
,8,fewshot_fi,3,01000,template0,format_instruction0,1,gpt-4-0314,0.86,0.87,0.01,0.13,1.26,0.86
,9,fewshot_fi,3,01001,template0,format_instruction0,1,gpt-3.5-turbo,0.0,0.0,1.0,0.0,117.79,0.0
,10,fewshot_fi,3,01010,template0,format_instruction1,1,gpt-4-0314,0.87,0.87,0.0,0.13,0.96,0.87
,11,fewshot_fi,3,01011,template0,format_instruction1,1,gpt-3.5-turbo,0.03,1.0,0.97,0.0,85.7,0.05
,12,fewshot_fi,3,01100,template1,format_instruction0,1,gpt-4-0314,0.84,0.85,0.01,0.15,1.32,0.84
,13,fewshot_fi,3,01101,template1,format_instruction0,1,gpt-3.5-turbo,0.11,0.84,0.87,0.02,57.88,0.18
,14,fewshot_fi,3,01110,template1,format_instruction1,1,gpt-4-0314,0.86,0.86,0.0,0.14,0.97,0.86
,15,fewshot_fi,3,01111,template1,format_instruction1,1,gpt-3.5-turbo,0.25,0.88,0.71,0.03,37.77,0.39
,16,fewshot_fi,4,02000,template0,format_instruction0,1,gpt-4-0314,0.89,0.89,0.0,0.11,2.17,0.89
,17,fewshot_fi,4,02001,template0,format_instruction0,1,gpt-3.5-turbo,0.72,0.74,0.03,0.25,7.16,0.73
,18,fewshot_fi,4,02010,template0,format_instruction1,1,gpt-4-0314,0.87,0.87,0.0,0.13,0.98,0.87
,19,fewshot_fi,4,02011,template0,format_instruction1,1,gpt-3.5-turbo,0.74,0.74,0.01,0.25,1.52,0.75
,20,fewshot_fi,4,02100,template1,format_instruction0,1,gpt-4-0314,0.87,0.88,0.01,0.12,3.79,0.88
,21,fewshot_fi,4,02101,template1,format_instruction0,1,gpt-3.5-turbo,0.78,0.79,0.01,0.21,3.35,0.78
,22,fewshot_fi,4,02110,template1,format_instruction1,1,gpt-4-0314,0.87,0.87,0.0,0.13,0.98,0.87
,23,fewshot_fi,4,02111,template1,format_instruction1,1,gpt-3.5-turbo,0.82,0.83,0.01,0.17,1.38,0.82
,24,fewshot_fi,2,10000,template0,format_instruction0,3,gpt-4-0314,0.87,0.87,0.01,0.13,1.03,0.87
,25,fewshot_fi,2,10001,template0,format_instruction0,3,gpt-3.5-turbo,0.19,0.93,0.8,0.01,49.71,0.3
,26,fewshot_fi,2,10010,template0,format_instruction1,3,gpt-4-0314,0.88,0.88,0.0,0.12,0.96,0.88
,27,fewshot_fi,2,10011,template0,format_instruction1,3,gpt-3.5-turbo,0.76,0.79,0.03,0.21,1.61,0.77
,28,fewshot_fi,2,10100,template1,format_instruction0,3,gpt-4-0314,0.87,0.87,0.0,0.13,0.98,0.87
,29,fewshot_fi,2,10101,template1,format_instruction0,3,gpt-3.5-turbo,0.61,0.83,0.27,0.12,11.14,0.7
,30,fewshot_fi,2,10110,template1,format_instruction1,3,gpt-4-0314,0.86,0.86,0.0,0.14,0.97,0.86
,31,fewshot_fi,2,10111,template1,format_instruction1,3,gpt-3.5-turbo,0.78,0.81,0.03,0.19,2.01,0.79
,32,fewshot_fi,3,11000,template0,format_instruction0,3,gpt-4-0314,0.86,0.86,0.0,0.14,0.97,0.86
,33,fewshot_fi,3,11001,template0,format_instruction0,3,gpt-3.5-turbo,0.01,0.5,0.99,0.01,77.16,0.01
,34,fewshot_fi,3,11010,template0,format_instruction1,3,gpt-4-0314,0.83,0.83,0.0,0.17,1.0,0.84
,35,fewshot_fi,3,11011,template0,format_instruction1,3,gpt-3.5-turbo,0.45,0.77,0.41,0.13,24.57,0.57
,36,fewshot_fi,3,11100,template1,format_instruction0,3,gpt-4-0314,0.85,0.85,0.0,0.15,0.98,0.86
,37,fewshot_fi,3,11101,template1,format_instruction0,3,gpt-3.5-turbo,0.17,0.81,0.79,0.04,55.88,0.28
,38,fewshot_fi,3,11110,template1,format_instruction1,3,gpt-4-0314,0.84,0.84,0.0,0.16,0.98,0.84
,39,fewshot_fi,3,11111,template1,format_instruction1,3,gpt-3.5-turbo,0.61,0.8,0.24,0.15,13.67,0.69
,40,fewshot_fi,4,12000,template0,format_instruction0,3,gpt-4-0314,0.86,0.86,0.0,0.14,0.99,0.86
,41,fewshot_fi,4,12001,template0,format_instruction0,3,gpt-3.5-turbo,0.81,0.83,0.02,0.17,8.41,0.82
