Unnamed: 0,index,digit,num_example,model,general_scenario,accuracy,correct_ratio,unknown_rate,rlr,num_data_tested,task_instruction,format_instruction,ftrr,scenario
,0,0,3,gpt-4-0314,1,0.0,0.0,0.0,23.68,3.0,template0,format_instruction0,1.0,fewshot_nfi
,1,1,3,gpt-3.5-turbo,1,0.24,0.26,0.04,5.33,3.0,template0,format_instruction0,0.27,fewshot_nfi
,2,100,3,gpt-4-0314,1,0.09,0.09,0.0,16.9,3.0,template1,format_instruction0,0.87,fewshot_nfi
,3,101,3,gpt-3.5-turbo,1,0.22,0.22,0.0,3.79,3.0,template1,format_instruction0,0.27,fewshot_nfi
,4,010000,5,gpt-4-0314,1,0.0,0.0,0.0,22.22,3.0,template0,format_instruction0,1.0,fewshot_nfi
,5,010001,5,gpt-3.5-turbo,1,0.0,0.0,0.0,4.7,3.0,template0,format_instruction0,1.0,fewshot_nfi
,6,010100,5,gpt-4-0314,1,0.0,0.0,0.0,18.11,3.0,template1,format_instruction0,1.0,fewshot_nfi
,7,010101,5,gpt-3.5-turbo,1,0.02,0.02,0.0,5.29,3.0,template1,format_instruction0,0.93,fewshot_nfi
,8,100000,3,gpt-4-0314,1,0.0,0.0,0.0,20.59,5.0,template0,format_instruction0,1.0,fewshot_nfi
,9,100001,3,gpt-3.5-turbo,1,0.03,0.03,0.03,3.32,5.0,template0,format_instruction0,0.93,fewshot_nfi
,10,100100,3,gpt-4-0314,1,0.0,0.0,0.0,17.74,5.0,template1,format_instruction0,1.0,fewshot_nfi
,11,100101,3,gpt-3.5-turbo,1,0.0,0.0,0.0,2.58,5.0,template1,format_instruction0,1.0,fewshot_nfi
,12,110000,5,gpt-4-0314,1,0.04,0.04,0.03,18.98,5.0,template0,format_instruction0,0.93,fewshot_nfi
,13,110001,5,gpt-3.5-turbo,1,0.39,0.39,0.0,1.8,5.0,template0,format_instruction0,0.13,fewshot_nfi
,14,110100,5,gpt-4-0314,1,0.03,0.03,0.0,16.78,5.0,template1,format_instruction0,0.93,fewshot_nfi
,15,110101,5,gpt-3.5-turbo,1,0.25,0.25,0.0,3.6,5.0,template1,format_instruction0,0.27,fewshot_nfi
,16,200000,3,gpt-4-0314,1,0.11,0.12,0.02,17.33,10.0,template0,format_instruction0,0.87,fewshot_nfi
,17,200001,3,gpt-3.5-turbo,1,0.0,0.0,0.0,2.2,10.0,template0,format_instruction0,1.0,fewshot_nfi
,18,200100,3,gpt-4-0314,1,0.13,0.13,0.05,14.3,10.0,template1,format_instruction0,0.8,fewshot_nfi
,19,200101,3,gpt-3.5-turbo,1,0.03,0.03,0.0,2.81,10.0,template1,format_instruction0,0.93,fewshot_nfi
,20,210000,5,gpt-4-0314,1,0.0,0.0,0.0,19.55,10.0,template0,format_instruction0,1.0,fewshot_nfi
,21,210001,5,gpt-3.5-turbo,1,0.0,0.0,0.0,1.05,10.0,template0,format_instruction0,1.0,fewshot_nfi
,22,210100,5,gpt-4-0314,1,0.11,0.11,0.0,13.13,10.0,template1,format_instruction0,0.87,fewshot_nfi
,23,210101,5,gpt-3.5-turbo,1,0.0,0.0,0.0,2.28,10.0,template1,format_instruction0,1.0,fewshot_nfi
