Unnamed: 0,index,digit,num_example,model,general_scenario,accuracy,correct_ratio,unknown_rate,rlr,num_data_tested,task_instruction,format_instruction,ftrr,scenario
,0,000000,0,gpt-4-0314,2,0.78,0.78,0.0,0.96,3.0,template0,format_instruction0,0.0,zeroshot_fi
,1,000001,0,gpt-3.5-turbo,2,0.6,0.6,0.0,1.09,3.0,template0,format_instruction0,0.07,zeroshot_fi
,2,000010,0,gpt-4-0314,2,0.76,0.76,0.0,0.93,3.0,template0,format_instruction1,0.0,zeroshot_fi
,3,000011,0,gpt-3.5-turbo,2,0.64,0.64,0.0,1.09,3.0,template0,format_instruction1,0.07,zeroshot_fi
,4,000100,0,gpt-4-0314,2,0.78,0.78,0.0,0.88,3.0,template1,format_instruction0,0.0,zeroshot_fi
,5,000101,0,gpt-3.5-turbo,2,0.64,0.64,0.0,0.9,3.0,template1,format_instruction0,0.0,zeroshot_fi
,6,000110,0,gpt-4-0314,2,0.8,0.8,0.0,0.88,3.0,template1,format_instruction1,0.0,zeroshot_fi
,7,000111,0,gpt-3.5-turbo,2,0.69,0.69,0.0,0.92,3.0,template1,format_instruction1,0.0,zeroshot_fi
,8,001000,0,gpt-4-0314,3,0.84,0.84,0.0,0.91,3.0,template0,format_instruction0,0.0,zeroshot_fi
,9,001001,0,gpt-3.5-turbo,3,0.6,0.6,0.0,0.89,3.0,template0,format_instruction0,0.0,zeroshot_fi
,10,001010,0,gpt-4-0314,3,0.82,0.82,0.0,0.9,3.0,template0,format_instruction1,0.0,zeroshot_fi
,11,001011,0,gpt-3.5-turbo,3,0.62,0.62,0.0,0.94,3.0,template0,format_instruction1,0.0,zeroshot_fi
,12,001100,0,gpt-4-0314,3,0.82,0.82,0.0,0.87,3.0,template1,format_instruction0,0.0,zeroshot_fi
,13,001101,0,gpt-3.5-turbo,3,0.64,0.64,0.0,0.89,3.0,template1,format_instruction0,0.0,zeroshot_fi
,14,001110,0,gpt-4-0314,3,0.84,0.84,0.0,0.89,3.0,template1,format_instruction1,0.0,zeroshot_fi
,15,001111,0,gpt-3.5-turbo,3,0.62,0.62,0.0,0.93,3.0,template1,format_instruction1,0.0,zeroshot_fi
,16,002000,0,gpt-4-0314,4,0.78,0.78,0.0,1.14,3.0,template0,format_instruction0,0.0,zeroshot_fi
,17,002001,0,gpt-3.5-turbo,4,0.53,0.53,0.0,3.88,3.0,template0,format_instruction0,0.13,zeroshot_fi
,18,002010,0,gpt-4-0314,4,0.78,0.78,0.0,1.16,3.0,template0,format_instruction1,0.0,zeroshot_fi
,19,002011,0,gpt-3.5-turbo,4,0.73,0.73,0.0,0.87,3.0,template0,format_instruction1,0.0,zeroshot_fi
,20,002100,0,gpt-4-0314,4,0.78,0.78,0.0,1.11,3.0,template1,format_instruction0,0.0,zeroshot_fi
,21,002101,0,gpt-3.5-turbo,4,0.56,0.6,0.07,2.6,3.0,template1,format_instruction0,0.07,zeroshot_fi
,22,002110,0,gpt-4-0314,4,0.84,0.84,0.0,1.07,3.0,template1,format_instruction1,0.0,zeroshot_fi
,23,002111,0,gpt-3.5-turbo,4,0.56,0.56,0.0,2.34,3.0,template1,format_instruction1,0.07,zeroshot_fi
,24,100000,0,gpt-4-0314,2,0.79,0.79,0.0,0.96,5.0,template0,format_instruction0,0.0,zeroshot_fi
,25,100001,0,gpt-3.5-turbo,2,0.59,0.59,0.0,0.94,5.0,template0,format_instruction0,0.0,zeroshot_fi
,26,100010,0,gpt-4-0314,2,0.83,0.83,0.0,0.95,5.0,template0,format_instruction1,0.0,zeroshot_fi
,27,100011,0,gpt-3.5-turbo,2,0.64,0.64,0.0,2.0,5.0,template0,format_instruction1,0.07,zeroshot_fi
,28,100100,0,gpt-4-0314,2,0.83,0.83,0.0,0.9,5.0,template1,format_instruction0,0.0,zeroshot_fi
,29,100101,0,gpt-3.5-turbo,2,0.69,0.69,0.0,0.91,5.0,template1,format_instruction0,0.0,zeroshot_fi
,30,100110,0,gpt-4-0314,2,0.8,0.8,0.0,0.88,5.0,template1,format_instruction1,0.0,zeroshot_fi
,31,100111,0,gpt-3.5-turbo,2,0.61,0.61,0.0,0.91,5.0,template1,format_instruction1,0.0,zeroshot_fi
,32,101000,0,gpt-4-0314,3,0.83,0.83,0.0,0.91,5.0,template0,format_instruction0,0.0,zeroshot_fi
,33,101001,0,gpt-3.5-turbo,3,0.59,0.59,0.0,0.92,5.0,template0,format_instruction0,0.0,zeroshot_fi
,34,101010,0,gpt-4-0314,3,0.77,0.77,0.0,0.89,5.0,template0,format_instruction1,0.0,zeroshot_fi
,35,101011,0,gpt-3.5-turbo,3,0.57,0.57,0.0,0.94,5.0,template0,format_instruction1,0.07,zeroshot_fi
,36,101100,0,gpt-4-0314,3,0.8,0.8,0.0,0.88,5.0,template1,format_instruction0,0.0,zeroshot_fi
,37,101101,0,gpt-3.5-turbo,3,0.57,0.57,0.0,0.9,5.0,template1,format_instruction0,0.13,zeroshot_fi
,38,101110,0,gpt-4-0314,3,0.81,0.81,0.0,0.89,5.0,template1,format_instruction1,0.0,zeroshot_fi
,39,101111,0,gpt-3.5-turbo,3,0.57,0.57,0.0,0.89,5.0,template1,format_instruction1,0.13,zeroshot_fi
,40,102000,0,gpt-4-0314,4,0.77,0.77,0.0,1.16,5.0,template0,format_instruction0,0.0,zeroshot_fi
,41,102001,0,gpt-3.5-turbo,4,0.67,0.67,0.0,0.99,5.0,template0,format_instruction0,0.0,zeroshot_fi
,42,102010,0,gpt-4-0314,4,0.77,0.77,0.0,1.15,5.0,template0,format_instruction1,0.0,zeroshot_fi
,43,102011,0,gpt-3.5-turbo,4,0.6,0.6,0.0,0.92,5.0,template0,format_instruction1,0.07,zeroshot_fi
,44,102100,0,gpt-4-0314,4,0.76,0.76,0.0,1.07,5.0,template1,format_instruction0,0.0,zeroshot_fi
,45,102101,0,gpt-3.5-turbo,4,0.65,0.65,0.0,1.97,5.0,template1,format_instruction0,0.07,zeroshot_fi
,46,102110,0,gpt-4-0314,4,0.8,0.8,0.0,1.12,5.0,template1,format_instruction1,0.0,zeroshot_fi
,47,102111,0,gpt-3.5-turbo,4,0.72,0.72,0.0,0.96,5.0,template1,format_instruction1,0.0,zeroshot_fi
,48,200000,0,gpt-4-0314,2,0.81,0.81,0.0,0.93,10.0,template0,format_instruction0,0.0,zeroshot_fi
,49,200001,0,gpt-3.5-turbo,2,0.24,0.24,0.01,0.93,10.0,template0,format_instruction0,0.6,zeroshot_fi
,50,200010,0,gpt-4-0314,2,0.81,0.81,0.0,1.03,10.0,template0,format_instruction1,0.0,zeroshot_fi
,51,200011,0,gpt-3.5-turbo,2,0.35,0.35,0.0,0.91,10.0,template0,format_instruction1,0.47,zeroshot_fi
,52,200100,0,gpt-4-0314,2,0.81,0.81,0.0,0.91,10.0,template1,format_instruction0,0.0,zeroshot_fi
,53,200101,0,gpt-3.5-turbo,2,0.22,0.22,0.01,0.89,10.0,template1,format_instruction0,0.6,zeroshot_fi
,54,200110,0,gpt-4-0314,2,0.81,0.81,0.0,0.92,10.0,template1,format_instruction1,0.0,zeroshot_fi
,55,200111,0,gpt-3.5-turbo,2,0.2,0.2,0.01,0.88,10.0,template1,format_instruction1,0.67,zeroshot_fi
,56,201000,0,gpt-4-0314,3,0.79,0.79,0.0,0.9,10.0,template0,format_instruction0,0.0,zeroshot_fi
,57,201001,0,gpt-3.5-turbo,3,0.39,0.39,0.0,0.9,10.0,template0,format_instruction0,0.33,zeroshot_fi
,58,201010,0,gpt-4-0314,3,0.8,0.8,0.0,0.9,10.0,template0,format_instruction1,0.0,zeroshot_fi
,59,201011,0,gpt-3.5-turbo,3,0.31,0.31,0.0,0.88,10.0,template0,format_instruction1,0.53,zeroshot_fi
,60,201100,0,gpt-4-0314,3,0.79,0.79,0.0,0.9,10.0,template1,format_instruction0,0.0,zeroshot_fi
,61,201101,0,gpt-3.5-turbo,3,0.26,0.26,0.01,0.88,10.0,template1,format_instruction0,0.53,zeroshot_fi
,62,201110,0,gpt-4-0314,3,0.82,0.82,0.0,0.89,10.0,template1,format_instruction1,0.0,zeroshot_fi
,63,201111,0,gpt-3.5-turbo,3,0.31,0.31,0.0,0.89,10.0,template1,format_instruction1,0.47,zeroshot_fi
,64,202000,0,gpt-4-0314,4,0.79,0.79,0.0,1.18,10.0,template0,format_instruction0,0.0,zeroshot_fi
,65,202001,0,gpt-3.5-turbo,4,0.39,0.39,0.01,1.84,10.0,template0,format_instruction0,0.47,zeroshot_fi
,66,202010,0,gpt-4-0314,4,0.83,0.83,0.0,1.19,10.0,template0,format_instruction1,0.0,zeroshot_fi
,67,202011,0,gpt-3.5-turbo,4,0.33,0.33,0.0,0.91,10.0,template0,format_instruction1,0.47,zeroshot_fi
,68,202100,0,gpt-4-0314,4,0.81,0.81,0.0,1.17,10.0,template1,format_instruction0,0.0,zeroshot_fi
,69,202101,0,gpt-3.5-turbo,4,0.19,0.19,0.01,0.92,10.0,template1,format_instruction0,0.67,zeroshot_fi
,70,202110,0,gpt-4-0314,4,0.81,0.81,0.0,1.13,10.0,template1,format_instruction1,0.0,zeroshot_fi
,71,202111,0,gpt-3.5-turbo,4,0.27,0.28,0.01,0.91,10.0,template1,format_instruction1,0.53,zeroshot_fi
