Unnamed: 0,index,digit,num_example,model,general_scenario,accuracy,correct_ratio,unknown_rate,rlr,task_instruction,format_instruction,wrong_rate,scenario
,0,00000,1,gpt-4-0314,2,0.83,0.83,0.0,1.56,template0,format_instruction0,0.17,fewshot_fi
,1,00001,1,gpt-3.5-turbo,2,0.57,0.59,0.03,26.43,template0,format_instruction0,0.4,fewshot_fi
,2,00010,1,gpt-4-0314,2,0.73,0.73,0.0,1.59,template0,format_instruction1,0.27,fewshot_fi
,3,00011,1,gpt-3.5-turbo,2,0.73,0.73,0.0,30.05,template0,format_instruction1,0.27,fewshot_fi
,4,00100,1,gpt-4-0314,2,0.83,0.83,0.0,1.56,template1,format_instruction0,0.17,fewshot_fi
,5,00101,1,gpt-3.5-turbo,2,0.53,0.64,0.17,27.76,template1,format_instruction0,0.3,fewshot_fi
,6,00110,1,gpt-4-0314,2,0.8,0.8,0.0,2.5,template1,format_instruction1,0.2,fewshot_fi
,7,00111,1,gpt-3.5-turbo,2,0.7,0.7,0.0,36.55,template1,format_instruction1,0.3,fewshot_fi
,8,01000,1,gpt-4-0314,3,0.87,0.87,0.0,1.54,template0,format_instruction0,0.13,fewshot_fi
,9,01001,1,gpt-3.5-turbo,3,0.5,0.52,0.03,13.56,template0,format_instruction0,0.47,fewshot_fi
,10,01010,1,gpt-4-0314,3,0.83,0.83,0.0,1.53,template0,format_instruction1,0.17,fewshot_fi
,11,01011,1,gpt-3.5-turbo,3,0.43,0.45,0.03,14.71,template0,format_instruction1,0.53,fewshot_fi
,12,01100,1,gpt-4-0314,3,0.8,0.8,0.0,1.57,template1,format_instruction0,0.2,fewshot_fi
,13,01101,1,gpt-3.5-turbo,3,0.47,0.47,0.0,12.08,template1,format_instruction0,0.53,fewshot_fi
,14,01110,1,gpt-4-0314,3,0.8,0.8,0.0,1.51,template1,format_instruction1,0.2,fewshot_fi
,15,01111,1,gpt-3.5-turbo,3,0.57,0.57,0.0,17.68,template1,format_instruction1,0.43,fewshot_fi
,16,02000,1,gpt-4-0314,4,0.8,0.8,0.0,8.65,template0,format_instruction0,0.2,fewshot_fi
,17,02001,1,gpt-3.5-turbo,4,0.67,0.67,0.0,1.42,template0,format_instruction0,0.33,fewshot_fi
,18,02010,1,gpt-4-0314,4,0.77,0.82,0.07,13.15,template0,format_instruction1,0.17,fewshot_fi
,19,02011,1,gpt-3.5-turbo,4,0.53,0.53,0.0,1.48,template0,format_instruction1,0.47,fewshot_fi
,20,02100,1,gpt-4-0314,4,0.47,0.93,0.5,3.49,template1,format_instruction0,0.03,fewshot_fi
,21,02101,1,gpt-3.5-turbo,4,0.5,0.5,0.0,1.38,template1,format_instruction0,0.5,fewshot_fi
,22,02110,1,gpt-4-0314,4,0.2,0.86,0.77,4.42,template1,format_instruction1,0.03,fewshot_fi
,23,02111,1,gpt-3.5-turbo,4,0.7,0.7,0.0,4.18,template1,format_instruction1,0.3,fewshot_fi
,24,10000,3,gpt-4-0314,2,0.8,0.8,0.0,1.47,template0,format_instruction0,0.2,fewshot_fi
,25,10001,3,gpt-3.5-turbo,2,0.67,0.67,0.0,2.28,template0,format_instruction0,0.33,fewshot_fi
,26,10010,3,gpt-4-0314,2,0.8,0.8,0.0,1.51,template0,format_instruction1,0.2,fewshot_fi
,27,10011,3,gpt-3.5-turbo,2,0.63,0.63,0.0,8.04,template0,format_instruction1,0.37,fewshot_fi
,28,10100,3,gpt-4-0314,2,0.83,0.83,0.0,2.77,template1,format_instruction0,0.17,fewshot_fi
,29,10101,3,gpt-3.5-turbo,2,0.47,0.48,0.03,10.01,template1,format_instruction0,0.5,fewshot_fi
,30,10110,3,gpt-4-0314,2,0.87,0.87,0.0,2.52,template1,format_instruction1,0.13,fewshot_fi
,31,10111,3,gpt-3.5-turbo,2,0.47,0.48,0.03,18.3,template1,format_instruction1,0.5,fewshot_fi
,32,11000,3,gpt-4-0314,3,0.87,0.87,0.0,3.38,template0,format_instruction0,0.13,fewshot_fi
,33,11001,3,gpt-3.5-turbo,3,0.5,0.5,0.0,10.49,template0,format_instruction0,0.5,fewshot_fi
,34,11010,3,gpt-4-0314,3,0.83,0.83,0.0,1.49,template0,format_instruction1,0.17,fewshot_fi
,35,11011,3,gpt-3.5-turbo,3,0.63,0.66,0.03,17.8,template0,format_instruction1,0.33,fewshot_fi
,36,11100,3,gpt-4-0314,3,0.83,0.83,0.0,1.49,template1,format_instruction0,0.17,fewshot_fi
,37,11101,3,gpt-3.5-turbo,3,0.4,0.43,0.07,17.45,template1,format_instruction0,0.53,fewshot_fi
,38,11110,3,gpt-4-0314,3,0.77,0.77,0.0,1.46,template1,format_instruction1,0.23,fewshot_fi
,39,11111,3,gpt-3.5-turbo,3,0.53,0.53,0.0,15.54,template1,format_instruction1,0.47,fewshot_fi
,40,12000,3,gpt-4-0314,4,0.8,0.86,0.07,6.79,template0,format_instruction0,0.13,fewshot_fi
,41,12001,3,gpt-3.5-turbo,4,0.6,0.6,0.0,1.45,template0,format_instruction0,0.4,fewshot_fi
,42,12010,3,gpt-4-0314,4,0.8,0.8,0.0,8.14,template0,format_instruction1,0.2,fewshot_fi
,43,12011,3,gpt-3.5-turbo,4,0.6,0.6,0.0,1.54,template0,format_instruction1,0.4,fewshot_fi
,44,12100,3,gpt-4-0314,4,0.67,0.83,0.2,2.27,template1,format_instruction0,0.13,fewshot_fi
,45,12101,3,gpt-3.5-turbo,4,0.57,0.57,0.0,1.39,template1,format_instruction0,0.43,fewshot_fi
,46,12110,3,gpt-4-0314,4,0.67,0.77,0.13,2.02,template1,format_instruction1,0.2,fewshot_fi
,47,12111,3,gpt-3.5-turbo,4,0.47,0.47,0.0,1.36,template1,format_instruction1,0.53,fewshot_fi
