Unnamed: 0,index,digit,num_example,model,general_scenario,accuracy,correct_ratio,unknown_rate,rlr,num_data_tested,task_instruction,format_instruction,ftrr,scenario
,0,000000,3,gpt-4-0314,2,0.71,0.71,0.0,2.46,3.0,template0,format_instruction0,0.0,fewshot_fi
,1,000001,3,gpt-3.5-turbo,2,0.22,0.22,0.0,1.02,3.0,template0,format_instruction0,0.0,fewshot_fi
,2,000010,3,gpt-4-0314,2,0.73,0.73,0.0,1.07,3.0,template0,format_instruction1,0.0,fewshot_fi
,3,000011,3,gpt-3.5-turbo,2,0.22,0.22,0.0,1.02,3.0,template0,format_instruction1,0.0,fewshot_fi
,4,000100,3,gpt-4-0314,2,0.82,0.82,0.0,2.24,3.0,template1,format_instruction0,0.0,fewshot_fi
,5,000101,3,gpt-3.5-turbo,2,0.24,0.24,0.0,1.02,3.0,template1,format_instruction0,0.0,fewshot_fi
,6,000110,3,gpt-4-0314,2,0.87,0.87,0.0,1.0,3.0,template1,format_instruction1,0.0,fewshot_fi
,7,000111,3,gpt-3.5-turbo,2,0.47,0.47,0.0,1.04,3.0,template1,format_instruction1,0.0,fewshot_fi
,8,001000,3,gpt-4-0314,3,0.84,0.84,0.0,1.0,3.0,template0,format_instruction0,0.0,fewshot_fi
,9,001001,3,gpt-3.5-turbo,3,0.24,0.24,0.0,0.99,3.0,template0,format_instruction0,0.0,fewshot_fi
,10,001010,3,gpt-4-0314,3,0.82,0.82,0.0,1.0,3.0,template0,format_instruction1,0.0,fewshot_fi
,11,001011,3,gpt-3.5-turbo,3,0.38,0.38,0.0,1.04,3.0,template0,format_instruction1,0.0,fewshot_fi
,12,001100,3,gpt-4-0314,3,0.82,0.82,0.0,1.0,3.0,template1,format_instruction0,0.0,fewshot_fi
,13,001101,3,gpt-3.5-turbo,3,0.29,0.29,0.0,1.02,3.0,template1,format_instruction0,0.0,fewshot_fi
,14,001110,3,gpt-4-0314,3,0.82,0.82,0.0,1.0,3.0,template1,format_instruction1,0.0,fewshot_fi
,15,001111,3,gpt-3.5-turbo,3,0.33,0.33,0.0,1.05,3.0,template1,format_instruction1,0.0,fewshot_fi
,16,002000,3,gpt-4-0314,4,0.71,0.71,0.0,1.04,3.0,template0,format_instruction0,0.0,fewshot_fi
,17,002001,3,gpt-3.5-turbo,4,0.22,0.22,0.0,1.02,3.0,template0,format_instruction0,0.0,fewshot_fi
,18,002010,3,gpt-4-0314,4,0.8,0.8,0.0,1.03,3.0,template0,format_instruction1,0.0,fewshot_fi
,19,002011,3,gpt-3.5-turbo,4,0.22,0.22,0.0,1.02,3.0,template0,format_instruction1,0.0,fewshot_fi
,20,002100,3,gpt-4-0314,4,0.84,0.84,0.0,1.01,3.0,template1,format_instruction0,0.0,fewshot_fi
,21,002101,3,gpt-3.5-turbo,4,0.44,0.44,0.0,1.03,3.0,template1,format_instruction0,0.0,fewshot_fi
,22,002110,3,gpt-4-0314,4,0.82,0.82,0.0,1.0,3.0,template1,format_instruction1,0.0,fewshot_fi
,23,002111,3,gpt-3.5-turbo,4,0.4,0.4,0.0,1.04,3.0,template1,format_instruction1,0.0,fewshot_fi
,24,010000,5,gpt-4-0314,2,0.73,0.75,0.02,1.05,3.0,template0,format_instruction0,0.0,fewshot_fi
,25,010001,5,gpt-3.5-turbo,2,0.0,0.0,0.0,1.87,3.0,template0,format_instruction0,1.0,fewshot_fi
,26,010010,5,gpt-4-0314,2,0.73,0.75,0.02,1.11,3.0,template0,format_instruction1,0.0,fewshot_fi
,27,010011,5,gpt-3.5-turbo,2,0.0,0.0,0.0,1.84,3.0,template0,format_instruction1,1.0,fewshot_fi
,28,010100,5,gpt-4-0314,2,0.8,0.8,0.0,1.01,3.0,template1,format_instruction0,0.0,fewshot_fi
,29,010101,5,gpt-3.5-turbo,2,0.07,0.07,0.0,1.69,3.0,template1,format_instruction0,0.87,fewshot_fi
,30,010110,5,gpt-4-0314,2,0.82,0.82,0.0,1.01,3.0,template1,format_instruction1,0.0,fewshot_fi
,31,010111,5,gpt-3.5-turbo,2,0.18,0.18,0.0,1.3,3.0,template1,format_instruction1,0.33,fewshot_fi
,32,011000,5,gpt-4-0314,3,0.8,0.8,0.0,1.11,3.0,template0,format_instruction0,0.0,fewshot_fi
,33,011001,5,gpt-3.5-turbo,3,0.09,0.09,0.0,1.56,3.0,template0,format_instruction0,0.6,fewshot_fi
,34,011010,5,gpt-4-0314,3,0.8,0.8,0.0,1.05,3.0,template0,format_instruction1,0.07,fewshot_fi
,35,011011,5,gpt-3.5-turbo,3,0.24,0.24,0.0,1.34,3.0,template0,format_instruction1,0.4,fewshot_fi
,36,011100,5,gpt-4-0314,3,0.8,0.8,0.0,1.03,3.0,template1,format_instruction0,0.0,fewshot_fi
,37,011101,5,gpt-3.5-turbo,3,0.11,0.11,0.0,1.55,3.0,template1,format_instruction0,0.67,fewshot_fi
,38,011110,5,gpt-4-0314,3,0.78,0.78,0.0,0.99,3.0,template1,format_instruction1,0.0,fewshot_fi
,39,011111,5,gpt-3.5-turbo,3,0.11,0.11,0.0,1.52,3.0,template1,format_instruction1,0.6,fewshot_fi
,40,012000,5,gpt-4-0314,4,0.71,0.71,0.0,1.02,3.0,template0,format_instruction0,0.0,fewshot_fi
,41,012001,5,gpt-3.5-turbo,4,0.0,0.0,0.0,1.92,3.0,template0,format_instruction0,1.0,fewshot_fi
,42,012010,5,gpt-4-0314,4,0.69,0.69,0.0,1.06,3.0,template0,format_instruction1,0.07,fewshot_fi
,43,012011,5,gpt-3.5-turbo,4,0.0,0.0,0.0,1.9,3.0,template0,format_instruction1,1.0,fewshot_fi
