Unnamed: 0,index,digit,num_example,model,general_scenario,accuracy,correct_ratio,unknown_rate,rlr,num_data_tested,task_instruction,format_instruction,ftrr,scenario
,0,000000,0,gpt-4-0314,1,0.0,0.0,0.0,10.93,3.0,template0,format_instruction0,1.0,zeroshot_nfi
,1,000001,0,gpt-3.5-turbo,1,0.0,0.0,0.0,5.52,3.0,template0,format_instruction0,1.0,zeroshot_nfi
,2,000100,0,gpt-4-0314,1,0.0,0.0,0.0,0.63,3.0,template1,format_instruction0,1.0,zeroshot_nfi
,3,000101,0,gpt-3.5-turbo,1,0.0,0.0,0.0,2.62,3.0,template1,format_instruction0,1.0,zeroshot_nfi
,4,100000,0,gpt-4-0314,1,0.0,0.0,0.0,10.25,5.0,template0,format_instruction0,1.0,zeroshot_nfi
,5,100001,0,gpt-3.5-turbo,1,0.0,0.0,0.0,3.49,5.0,template0,format_instruction0,1.0,zeroshot_nfi
,6,100100,0,gpt-4-0314,1,0.0,0.0,0.0,2.09,5.0,template1,format_instruction0,1.0,zeroshot_nfi
,7,100101,0,gpt-3.5-turbo,1,0.0,0.0,0.0,1.48,5.0,template1,format_instruction0,1.0,zeroshot_nfi
,8,200000,0,gpt-4-0314,1,0.0,0.0,0.0,7.94,10.0,template0,format_instruction0,1.0,zeroshot_nfi
,9,200001,0,gpt-3.5-turbo,1,0.0,0.0,0.0,2.47,10.0,template0,format_instruction0,1.0,zeroshot_nfi
,10,200100,0,gpt-4-0314,1,0.0,0.0,0.0,0.77,10.0,template1,format_instruction0,1.0,zeroshot_nfi
,11,200101,0,gpt-3.5-turbo,1,0.0,0.0,0.0,1.41,10.0,template1,format_instruction0,1.0,zeroshot_nfi
